|Dataset|Number of Spectra|Number of Unique Compounds|has INTERNAL_ID| 
|---|---|---|---|
|AAFC|950|149|FALSE|
|Athens_Univ|5087|861|TRUE|
|BGC_Munich|903|225|TRUE|
|BS|1317|||
|CASMI_2012|26|||
|CASMI_2016|622|||
|Chubu_Univ|2185|||
|Eawag|11191|||
|Eawag_Additional_Specs|874|||
|Fukuyama_Univ|340|||
|GL_Sciences_Inc|174|||
|HBM4EU|1118|||
|IPB_Halle|149|||
|Kazusa|273|||
|KWR|207|||
|MetaboLights|58|||
|MPI_for_Chemical_Ecology|691|||
|MSSJ|79|||
|NAIST|621|||
|NaToxAq|3756|||
|Osaka_MCHRI|3|||
|Osaka_Univ|449|||
|PFOS_research_group|413|||
|RIKEN|10624|||
|RIKEN_IMS|754|||
|UFZ|1002|||
|Univ_Toyama|253|||
|UPAO|2|||
|Washington_State_Univ|2626|||
|Waters|2719|||
